"Accession","Symbol","Gene Name","Rank","Fold_Change"
"NM_001042550.1","SMC2","Homo sapiens structural maintenance of chromosomes 2 (SMC2), transcript variant 1, mRNA.",212,2.36519992681194
"NM_023019.1","DCTN1","Homo sapiens dynactin 1 (p150, glued homolog, Drosophila) (DCTN1), transcript variant 2, mRNA.",213,1.65944292260823
"NM_001018160.1","NAE1","Homo sapiens NEDD8 activating enzyme E1 subunit 1 (NAE1), transcript variant 3, mRNA.",214,1.43505515809363
"NM_031243.2","HNRNPA2B1","Homo sapiens heterogeneous nuclear ribonucleoprotein A2/B1 (HNRNPA2B1), transcript variant B1, mRNA.",215,1.36032030520309
"XR_040783.1","LOC728208","PREDICTED: Homo sapiens misc_RNA (LOC728208), miscRNA.",216,1.52303505969229
"XM_001716240.1","LOC100132369","PREDICTED: Homo sapiens hypothetical LOC100132369 (LOC100132369), mRNA.",217,1.6344138872376
"XM_001128558.2","LOC644914","PREDICTED: Homo sapiens similar to H3 histone, family 3B (LOC644914), mRNA.",218,1.84677915231572
"NR_024424.1","LOC255167","Homo sapiens hypothetical LOC255167 (LOC255167), non-coding RNA.",219,2.00603208841973
"XR_037328.1","LOC646044","PREDICTED: Homo sapiens misc_RNA (LOC646044), miscRNA.",220,1.59541971632788
"XR_017375.2","LOC439953","PREDICTED: Homo sapiens misc_RNA (LOC439953), miscRNA.",221,1.49512785250447
"XM_001719022.1","LOC728440","PREDICTED: Homo sapiens hypothetical LOC728440 (LOC728440), mRNA.",222,1.76364852510347
"XM_001720609.1","LOC100129076","PREDICTED: Homo sapiens similar to FP17469 (LOC100129076), mRNA.",223,1.49256353202951
"NM_175732.1","PTPMT1","Homo sapiens protein tyrosine phosphatase, mitochondrial 1 (PTPMT1), nuclear gene encoding mitochondrial protein, mRNA.",224,1.83411407212198
"XM_001720815.1","LOC100133609","PREDICTED: Homo sapiens similar to membrane-associated ring finger (C3HC4) 3 (LOC100133609), mRNA.",225,1.67891941927312
"NM_020811.1","ATPGD1","Homo sapiens ATP-grasp domain containing 1 (ATPGD1), transcript variant 2, mRNA.",226,3.59086834802682
"XM_001720739.1","LOC100134304","PREDICTED: Homo sapiens similar to hCG1983233 (LOC100134304), mRNA.",227,1.72846650169155
"NR_024063.1","ZSCAN12L1","Homo sapiens zinc finger and SCAN domain containing 12-like 1 (ZSCAN12L1), non-coding RNA.",228,1.73677149446092
"NM_001098612.1","SIGLEC14","Homo sapiens sialic acid binding Ig-like lectin 14 (SIGLEC14), mRNA.",229,39.6601269318172
"XR_016124.1","LOC646214","PREDICTED: Homo sapiens misc_RNA (LOC646214), miscRNA.",230,1.67686206833245
"NM_015230.2","ARAP2","Homo sapiens ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2 (ARAP2), mRNA.",231,1.42441044630676
"NR_003077.1","SNORD99","Homo sapiens small nucleolar RNA, C/D box 99 (SNORD99), small nucleolar RNA.",232,1.98104115167383
"NM_015702.2","MMADHC","Homo sapiens methylmalonic aciduria (cobalamin deficiency) cblD type, with homocystinuria (MMADHC), nuclear gene encoding mitochondrial protein, mRNA.",233,1.23009843373801
"XR_039781.1","LOC100130289","PREDICTED: Homo sapiens misc_RNA (LOC100130289), miscRNA.",234,1.50656354756676
"NR_023921.1","C14orf167","Homo sapiens chromosome 14 open reading frame 167 (C14orf167), transcript variant 1, non-coding RNA.",235,1.84331488430722
"XM_001134012.2","FABP5L2","PREDICTED: Homo sapiens fatty acid binding protein 5-like 2 (FABP5L2), mRNA.",236,1.99985616843782
"NM_181427.3","GABPB1","Homo sapiens GA binding protein transcription factor, beta subunit 1 (GABPB1), transcript variant gamma-3, mRNA.",237,2.15468088061671
"XM_001717513.1","LOC100130263","PREDICTED: Homo sapiens similar to coiled-coil domain containing 25 (LOC100130263), mRNA.",238,1.77396408621832
"XM_001713724.1","LOC100133607","PREDICTED: Homo sapiens hypothetical protein LOC100133607, transcript variant 2 (LOC100133607), mRNA.",239,1.32689928772641
"XR_018378.2","LOC391825","PREDICTED: Homo sapiens similar to hCG1643032 (LOC391825), mRNA.",240,1.33716480124807
"XR_017565.2","LOC441506","PREDICTED: Homo sapiens misc_RNA (LOC441506), miscRNA.",241,1.6697946829681
"XR_037476.1","LOC100133478","PREDICTED: Homo sapiens misc_RNA (LOC100133478), miscRNA.",242,1.72326536621273
"XR_039697.1","LOC100132918","PREDICTED: Homo sapiens misc_RNA (LOC100132918), miscRNA.",243,1.2165590996417
"XR_019601.2","LOC339352","PREDICTED: Homo sapiens misc_RNA (LOC339352), miscRNA.",244,2.05631346766743
"XM_940960.3","LOC645086","PREDICTED: Homo sapiens hypothetical LOC645086 (LOC645086), mRNA.",245,1.80394015105827
"XM_001717715.1","LOC642892","PREDICTED: Homo sapiens similar to mCG7602 (LOC642892), mRNA.",246,1.19715892328735
"XM_001131805.2","LOC729505","PREDICTED: Homo sapiens hypothetical LOC729505 (LOC729505), mRNA.",247,1.61882978742093
"NM_032814.3","RNFT2","Homo sapiens ring finger protein, transmembrane 2 (RNFT2), transcript variant 2, mRNA.",248,1.67531637625096
"NM_001093731.2","LOC728937","Homo sapiens similar to 40S ribosomal protein S26 (LOC728937), mRNA.",249,1.6908765633135
"NM_024683.3","C17orf42","Homo sapiens chromosome 17 open reading frame 42 (C17orf42), mRNA.",250,2.01525275900148
"NM_024963.4","FBXL18","Homo sapiens F-box and leucine-rich repeat protein 18 (FBXL18), mRNA.",251,1.52343599290657
